property_id,price,predicted_price,size_sqm,location,project,cluster_label,timestamp
8318423,1950000,2528471.5200073402,73,UAE,,Low-Value,2025-05-14 11:59:03
8315305,1000000,542716.330057105,72,UAE,,Low-Value,2025-05-14 11:59:03
8239167,3200000,3685866.324431886,155,UAE,UAEAldar,Low-Value,2025-05-18 14:32:10
8092596,12000000,10024809.804083547,293,UAE,UAE,Mid-Value,2025-05-18 14:32:10
8172218,2200000,2560778.417990871,104,UAE,UAE,Low-Value,2025-05-18 14:32:10
7856694,7200000,7771127.1296552345,146,UAE,Emaar,Mid-Value,2025-05-14 11:59:20
8324427,11500000,10398756.126616789,195,UAE,Emaar,Mid-Value,2025-05-14 11:59:20
8363105,2007000,2278541.3717255928,94,UAE,Imtiaz Developments,Low-Value,2025-05-14 11:59:20
8362897,750000,793259.7396942247,36,UAE,Binghatti Developers,Low-Value,2025-05-14 11:59:20
8362820,1059000,713471.3723884188,81,UAE,Karma Developers,Low-Value,2025-05-14 11:59:20
8031686,1249999,1325271.8784894273,136,UAE,,Low-Value,2025-05-14 11:59:20
8428779,990000,645688.9153078208,62,UAE,Azizi Developments,Low-Value,2025-05-14 11:59:20
8349534,849999,344804.9689575471,97,UAE,,Low-Value,2025-05-14 11:59:20
8317480,1064000,810106.2967560971,63,UAE,Azizi Developments,Low-Value,2025-05-14 11:59:20
8280452,1190000,864694.9357271735,85,UAE,,Low-Value,2025-05-14 11:59:20
7902468,1250000,1010449.0488089314,78,UAE,,Low-Value,2025-05-14 11:59:20
8046769,1050000,1201751.4133739173,48,UAE,,Low-Value,2025-05-14 11:59:20
8296272,1050000,635588.8902300405,74,UAE,,Low-Value,2025-05-14 11:59:20
8429278,587000,305484.84037874267,32,UAE,Azizi Developments,Low-Value,2025-05-14 11:59:20
8062062,2000000,2198698.876750117,140,UAE,,Low-Value,2025-05-14 11:59:20
8429161,2400000,2700632.5341337733,113,UAE,Emaar,Low-Value,2025-05-14 11:59:20
8429137,992000,621032.4941832181,64,UAE,Azizi Developments,Low-Value,2025-05-14 11:59:20
8109066,750000,29525.252366624307,78,UAE,,Low-Value,2025-05-14 11:59:20
7862035,1349000,1135629.0032650754,89,UAE,,Low-Value,2025-05-14 11:59:20
4978995,760000,133081.7701758272,55,UAE,,Low-Value,2025-05-14 11:59:20
8024986,880000,374440.7442874154,95,UAE,,Low-Value,2025-05-14 11:59:20
8025311,785000,142606.91272468213,86,UAE,,Low-Value,2025-05-14 11:59:20
8417111,950000,546175.3954645777,63,UAE,Binghatti Developers,Low-Value,2025-05-14 11:59:20
8427652,5000000,5776539.831182247,129,UAE,Meraas,Low-Value,2025-05-14 11:59:20
7453069,598000,27868.384149301797,38,UAE,,Low-Value,2025-05-14 11:59:20
8094962,2350000,3104480.8743632585,180,UAE,UAE,Low-Value,2025-05-18 14:32:28
8135357,1300000,1253280.4068823624,107,UAE,UAE,Low-Value,2025-05-18 14:32:28
8452059,1420000,1547140.4384944504,75,UAE,UAEAldar,Low-Value,2025-05-18 14:32:36
8269383,950000,615888.0086711291,57,UAE,,Low-Value,2025-05-18 14:39:07
8346520,1855000,1931032.8326966409,99,UAE,Aldar,Low-Value,2025-05-18 14:39:07
7806333,1450000,1462746.2537165256,74,UAE,,Low-Value,2025-05-18 14:39:07
8301418,1100000,910698.371377036,62,UAE,Aldar,Low-Value,2025-05-18 14:39:07
8313469,18500000,13138964.96343659,309,UAE,,High-Value,2025-05-18 14:39:07
8222911,1000000,517860.3340782374,80,UAE,,Low-Value,2025-05-18 14:39:07
